,company_name,founded_year,company_hq_location,sector,company_description,founders,investor,amount_usd,funding_round,funding_month,funding_year
550,QuickShift,2016.0,Pune,Logistics & Supply Chain,"Helping D2C brands scale with our AI powered Dashboard that manages Inventory, Order Processing, WMS, Shipping, Customer Support",Anshul Goenka,"Anicut Angel Fund, Axilor Ventures",770000.0,Seed,8,2021
551,StackBOX,2016.0,Bengaluru,Logistics & Supply Chain,DISTRIBUTION SIMPLIFIED,"Shanmukha Boora, Sabyasachi Bhattacharjee","Ecosystem Ventures, CMM group",1200000.0,Unknown,8,2021
554,SP Robotic Works,2012.0,Chennai,Edtech,An innovative place to explore next-generation technologies for students and all tech enthusiasts.,"Sneha Priya, Pranavan S",Mount Judi India Growth Fund,3000000.0,Series A,7,2021
556,Chai Waale,2018.0,Chennai,Food & Beverages,"A wide range of exotic flavoured chai, in the most hygienic ambience at pocket-friendly prices.",Vidur Maheswari,"Sunil Sethia, Sunil Kumar Singhvi, Manish Mardia",600000.0,Unknown,7,2021
559,Fixcraft,2018.0,Gurugram,Automotive,India's Most Trusted Automotive Repair Brand,"Vivek Sharma, Abhishek Goyal, Inderjeet Rao",,1000000.0,Pre-Series A,7,2021
560,Slice,2016.0,Bengaluru,Financial Services,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards",Rajan Bajaj,"Northern Arc Capital, Niyogin Fintech Limited, Credit Saison India, Vivriti Capital",10000000.0,Unknown,7,2021
561,90+ My Tuition App,2015.0,Bengaluru,Edtech,Daskalos Virtual Academy Pvt Ltd is a company set up by a group of professionals who perform innovative work in management.,Vingish Vijay,Pearl Investment LLC,5000000.0,Series A,7,2021
564,Ourbetterplanet,2020.0,Bengaluru,E-Commerce,A curated online marketplace for all things sustainable!,Pallavi Srivastava,VANS Group,300000.0,Seed,7,2021
565,Murf.ai,2020.0,Bengaluru,Saas,"Murf AI is working on simplifying voice audio and making high-quality voice overs accessible to everyone, using artificial intelligence.","Sneha Roy, Ankur Edkie, Divyanshu Pandey",Elevation Capital,1500000.0,Seed,7,2021
568,I am Love,2020.0,Mumbai,Healthcare,"I am Love came into existence in early 2020, with the aim of redefining the relationship we have with our health.",Shilpa Rathi,Xentel Investments,4000000.0,Seed,7,2021
570,Gumlet,2019.0,Bengaluru,Information Technology & Services,Gumlet has built a new-age media delivery infrastructure that provides low code or no-code integration plugins that automate the entire media publishing pipeline.,"Divyesh Patel, Aditya Patadia",Sequoia’s Surge,1600000.0,Unknown,7,2021
571,Eloelo,2015.0,Bengaluru,Gaming,Creator-led Social Gaming & Live Streaming Platform,"Saurabh Pandey, Akshay Dubey","Waterbridge, Lumikai",2000000.0,Pre-Series A,7,2021
572,Edukemy,2020.0,Noida,Edtech,"Edukemy is the first EdTech company in the country, in the non –STEM segment, offering an immersive learning experience to the students, supported by cutting-edge technology and an AI-based evaluation system.",Chandrahas Panigrahi,"Auxano, Falcon5",2000000.0,Pre-Series A,7,2021
575,Pencilton,2017.0,Hyderabad,Fintech,"India's first app for kids & teens to manage and spend pocket money while learning about money in a fun, gamified way.","VishwajitPureti, Ashish Singh, Pallavi Tipparaju, Viraj Gadde",Jupiter,330000.0,Pre-Seed,7,2021
576,Bandhoo,2020.0,Gurugram,Information Technology & Services,"Bringing ease of eCommerce to Construction for builders, infrastructure companies, contractors and workers","Prashant Gupta, Sridhar Sundaram",Unitus Ventures,1000000.0,Unknown,7,2021
577,ixigo,2007.0,Gurugram,Information Technology & Services,"AI-based travel app offering seamless planning and booking for flights, trains, buses, hotels and more!","Rajnish Kumar, Aloke Bajpai","GIC, Infoedge",53000000.0,Unknown,7,2021
578,The Whole Truth,2019.0,Mumbai,Food & Beverages,"Believe simple, homely ingredients, minimally processed, are the secret to nutritious, tasty food",Shashank Mehta,Sequoia Capital,6000000.0,Series A,7,2021
584,Mamaearth,2016.0,Gurugram,Healthcare,A brand which develops products from world-class research and attempts to solve every little problem that we as parents face.,"Varun Alagh, Ghazal Alagh",Sofina Ventures SA,50000000.0,Unknown,7,2021
589,Knorish,2016.0,Gurugram,Edtech,"Saas platform offers a feature packed platform enables businesses, experts, professionals, artists, instructors, specialists, coaches, people seeking work from home opportunities","Rakhi Wadhwa, Kinner N Sacchdev","Inflection Point Ventures, Rockstud Capital, Pentathlon Ventures, Prophetic Ventures syndicate",1000000.0,Pre-Series A,7,2021
590,Dozee,2015.0,Bengaluru,Healthcare,"Dozee is India's only contactless health monitor that silently tracks your heart, respiration, sleep patterns, stress levels, cardiac contractions, apnea and more while you sleep.","Mudit Dandwate, Dandwate",Prime VP,5000000.0,Series A,7,2021
591,BlackBuck,2015.0,Bengaluru,Logistics & Supply Chain,BlackBuck marks the beginning of a new path in trucking. A path that is organized and makes trucking simple for every shipper and trucker.,"B Ramasubramanian, Chanakya Hridaya, Rajesh Yabaji","Tribe Capital, IFC Emerging Asia Fund, VEF",67000000.0,Series E,7,2021
594,NirogStreet,2018.0,New Delhi,Healthcare,Nirogstreet as a concept is working to make #Ayurveda first call of treatment.,Ram N Kumar,"Gokul Rajaram, Pureland Venture, Wavemaker Partners",2500000.0,Series A,7,2021
597,Even,2020.0,Bengaluru,Healthcare,One monthly subscription to cover all your healthcare needs.,"Mayank Banerjee, Matilde Giglio, Alessandro Davide Ialongo",Khosla Ventures,5000000.0,Seed,7,2021
599,Otipy,2020.0,Gurugram,Food & Beverages,Otipy helps the farmer to deliver farm fresh vegetables & fruits at doorstep.,Varun Khurana,"Omidyar Network India, Innoven Capital",10200000.0,Series A,7,2021
601,Eka.care,2020.0,Bengaluru,Healthcare,A digitally enabled and connected healthcare ecosystem for better health outcomes.,Vikalp Sahni,"Deep Kalra, Ashish Kashyap, Rajesh Magow",4500000.0,Unknown,7,2021
602,Braingroom,2015.0,Chennai,Edtech,"BrainGroom is an online marketplace for educational, recreational & wellness classes with defined target segment, quantifiable outcomes & specified time duration.","Madhula Sathyamoorthy, Naliene Ramasamy, Kalaiarsi Periasamy","IAN, Social Alpha, Startup Oasis",200000.0,Unknown,7,2021
604,Credenc,2017.0,New Delhi,Fintech,An education loan platform to finance meritorious students for the college expenses by underwriting future employability,Avinash Kumar,Capital India,25000000.0,Unknown,7,2021
606,Spinny,2015.0,Gurugram,Automotive,Spinny is a new age used car end-to-end platform in India.,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur",Tiger Global,108000000.0,Series D,7,2021
609,Uvi Health,2020.0,Bengaluru,Healthcare,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,Mehak Malik,Titan Capital,330000.0,Pre-Seed,7,2021
611,Automovill,2015.0,Bengaluru,Automotive,"Automovill is a unique platform to aggregate automobile service providers, where we connect vehicle owners with all kind of automobile service providers under one roof.","Mridu Mahendra Das, Chinmay Baruah",Mumbai Angels Network,500000.0,Unknown,7,2021
613,HealthifyMe,2012.0,Bengaluru,Healthcare,HealthifyMe is a revolutionary health and fitness application that is on a mission to transform a billion lives!,"Tushar Vashisht, Sachin Shenoy","LeapFrog, Khosla Ventures",75000000.0,Series C,7,2021
614,GalaxyCard,2017.0,Gurugram,Fintech,GalaxyCard is a mobile based Instant Credit Card.,Amit Kumar,JITO Angel Network,450000.0,Unknown,7,2021
615,Bella Vita Organic,2018.0,Gurugram,Healthcare,Bella Vita Organic or ‘The Good Life’ is dedicated to creating handcrafted and organic beauty solutions inspired by the natural elements of the earth and age old beauty best practices.,Aakash Anand,Ananta Capital,10000000.0,Unknown,7,2021
616,SmartCoin,2016.0,Bengaluru,Fintech,India's Most Preferred Instant Loan App,"Jayant Upadhyay, Amit Chandel, Rohit Garg","Northern Arc, Vivriti Capital",10000000.0,Unknown,7,2021
620,Beco,2018.0,Mumbai,Consumer Goods,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.","Aditya Ruia, Akshay Varma, Anuj Ruia",Climate Angels Fund,500000.0,Seed,7,2021
622,MedPay,2020.0,Bengaluru,Information Technology & Services,MedPay® is building the real-time claims adjudication platform for health insurers.,"Arun Bhatia, Ravi Chandra","Entrepreneur First (EF), GrowX Ventures",1200000.0,Seed,7,2021
625,Aqgromalin,2018.0,Chennai,Agritech,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,"Prasanna Manogaran, Bharani CL",Zephyr Peacock,700000.0,Seed,7,2021
630,Ola Electric,2017.0,Bengaluru,Automotive,Ola Electric - The future of mobility is here.  Charging ahead to accelerate the world’s transition to sustainable mobility.,Bhavish Aggarwal,Bank of Baroda,100000000.0,Debt,7,2021
632,Oliveboard,2012.0,Bengaluru,Edtech,Oliveboard is the top exam preparation platform for Banking & Government Exams.,"Abhishek Patil, V Satish Kumar",IAN Fund,3000000.0,Unknown,7,2021
633,Little Leap,2020.0,New Delhi,Edtech,Soft Skills that make Smart Leaders. Holistic Development Programs for children in age range 5-15,Vishal Gupta,ah! ventures,300000.0,Unknown,7,2021
635,Kredent,2008.0,Kolkata,Edtech,Kredent Academy is the unique concept where financial market professionals have taken the onus of creating a strong knowledge bank in their area of expertise,"Vineet Patawari, Vivek Bajaj, Vinay Pagaria",Kotak Securities,1000000.0,Unknown,7,2021
636,EasyAspataal,2020.0,Mumbai,Healthcare,India’s First Digital Admission Desk for Hospitalisation.,"Manoj Gupta, Gunjali Kothari",Venture Catalysts,500000.0,Seed,7,2021
639,Arcana,2019.0,Bengaluru,Information Technology & Services,Arcana is the Storage Layer of Ethereum.,"Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary",Balaji Srinivasan,370000.0,Seed,7,2021
640,AdmitKard,2016.0,Noida,Edtech,A tech solution for end to end career advisory to students looking to study abroad.,"Vamsi Krishna, Pulkit Jain, Gaurav Munjal",,1000000.0,Pre-Series A,7,2021
643,Vah Vah!,2020.0,Bengaluru,Edtech,A mission to educate India and make its young and dynamic population job ready.,"Shailesh Daxini, Akash Senapaty, Muthukaleeshwaran Subbiah",Sequoia Surge,1800000.0,Unknown,7,2021
645,Sapio Analytics,2019.0,Mumbai,Computer Software,Aim to provide the most intelligent AI-powered policy making solutions for government institutions across the world.,"Ashwin Srivastava, Hardik Somani, Prashant Nikam",Parthiv Group,150000.0,Unknown,7,2021
650,Ati Motors,2017.0,Bengaluru,Automotive,Autonomous industrial vehicle maker,"Saurabh Chandra, Saad Nasser","Blume Ventures, Exfinity Venture Partners",35000000.0,Pre-Series A,7,2021
653,The Sleep Company,2019.0,Mumbai,Consumer Goods,Patent Pending sleep technology developed by actual Rocket Scientists and sleep experts after years of research.,,Fireside Ventures,1000000.0,Pre-Series A,7,2021
655,ION Energy,2016.0,Mumbai,Automotive,Advanced Electronics & Software Supplier for Electric Vehicles & Battery Energy Storage,Akhil Aryan,,3600000.0,Pre-Series A,7,2021
657,FRAAZO,2020.0,Mumbai,Food & Beverages,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,"Atul Kumar, Aashish Krishnatre","Sixth Sense Ventures, NABVENTURES",11000000.0,Series A,7,2021
658,Licious,2015.0,Bengaluru,Food & Beverages,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Abhay Hanjura, Vivek Gupta","Temasek, Multiples PE",192000000.0,Series F,7,2021
659,WinZO,2018.0,New Delhi,Gaming,WinZO is the largest social gaming and entertainment platform in India.,Paavan Nanda,Griffin Gaming Partners,65000000.0,Series C,7,2021
660,Furlenco,2012.0,Bengaluru,Consumer Goods,Furlenco is a different furniture company.,Ajith Mohan Karimpana,Zinnia Global,100000000.0,Unknown,7,2021
664,TWID,2020.0,Bengaluru,Fintech,"TWID is shaping the future of Digital Currencies, delivering new-age fintech solutions","Amit Sharma, Amit Koshal, Rishi Batra","BEENEXT, Sequoia’s Surge",2500000.0,Unknown,7,2021
667,Pine Labs,1998.0,Noida,Information Technology & Services,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,Amrish Rau,"Fidelity, BlackRock",600000.0,Unknown,7,2021
668,Genworks Health,2015.0,Bengaluru,Healthcare,GENWORKS Health is an initiative by GE for empowering healthcare professionals operating in the rural areas to deliver better medical facilities and diagnostics while keeping things affordable.,S Ganeshprasad,Blacksoil,2000000.0,Unknown,7,2021
670,Neverinstall,2019.0,Bengaluru,Information Technology & Services,A cloud platform to bring any GUI application regardless of OS and Device type to the browser.,"Lakshmana Pasala, Ram Pasala",Speciale Invest,370000.0,Seed,7,2021
672,BeatO,2015.0,New Delhi,Healthcare,ULTIMATE app to manage chronic conditions.,Gautam Chopra,W Health Ventures,5000000.0,Pre-Series B,7,2021
674,Fountain9,2019.0,Mumbai,Computer Software,"Fountain9 is a Y Combinator backed company, which offers predictive inventory planning and optimization software for e-commerce, DTC and retail companies.","Niki Khokale, Rajas Lonkar","021 Capital, Y Combinator",1900000.0,Seed,7,2021
675,Rockclimber,2019.0,Bengaluru,Food & Beverages,RockClimber is a new age beverage brand with a portfolio of alcoholic and non alcoholic drinks.,"Deepak Poduval, Hariprasad Shetty",Anand Prakash Sharma,1000000.0,Unknown,7,2021
676,SpEd@home,2020.0,Mumbai,Edtech,"Provide Remediation, Occupational Therapy, Speech Therapy and Socio-emotional coaching for children with Learning Disabilities like Dyslexia, Dysgraphia, Dyscalculia",Dhaval Mody,,300000.0,Unknown,7,2021
678,Green Soul,2016.0,Ambernath,Consumer Goods,Green Soul is No.1 brand on Amazon India in Ergonomic chairs category in terms of customer reviews.,Ravi Khushwani,https://velocity.in/,200000.0,Unknown,7,2021
680,DealShare,2018.0,Bengaluru,Retail,The next generation disruptive (social) e-commerce product for the masses.,"Rajat Shikhar, Vineet Rao, Sourjyendu Medda",Tiger Global,144000000.0,Unknown,7,2021
681,Teachmint,2020.0,Bengaluru,Edtech,Teachmint is an all-in-one education technology platform created specifically for the tutors of the digital age.,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Learn Capital,20000000.0,Pre-Series B,7,2021
689,Avishkaar,2014.0,New Delhi,Edtech,India's leading Ed-Tech startup spearheading the Maker Revolution in the sub-continent,"Rajeev Gaba, Tarun Bhalla",Auxano,600000.0,Pre-Series A,6,2021
692,Breathe Well-being,2015.0,New Delhi,Healthcare,Breathe Wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,"Aditya Kaicker, Rohan Verma","Stanford Angels and Entrepreneurs India, Anjali Bansal",1000000.0,Pre-Series A,6,2021
694,Good Health Clinic,2021.0,Hyderabad,Healthcare,Full Stack Digital Health Clinic,Samarth Sindhi,Khosla Ventures,5000000.0,Unknown,6,2021
698,Crejo.Fun,2020.0,Bengaluru,Edtech,Crejo.Fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,Vikas Bansal,"Matrix Partners India, 021 Capital",3000000.0,Seed,6,2021
699,Bambinos,2020.0,Bengaluru,Edtech,Cohort based extracurricular course for kids,"Ashish Gupta, Ankit Hetamsaria","HNIs, Angels",500000.0,Seed,6,2021
700,KreditBee,2018.0,Bengaluru,Fintech,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","NewQuest Capital Partners, Motilal Oswal Private Equity",8000000.0,Unknown,6,2021
